"Id","Material","Title","Genre","Department","Subject","Language","Publisher","Author","Year","Isbn Code"
"3609","Books","ਚਿਤਰਕਲਾ ਕਲਾਸ 9 (Chitrakala Class 9)","Punjab State School Books","Class 9","Art and Drawing","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB09664"
"3608","Books","ਮਕੈਨੀਕਲ ਡਰਾਇੰਗ ਕਲਾਸ 9 (Mechanical Drawing Class 9)","Punjab State School Books","Class 9","Mechanical Drawing","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB09613"
"3607","Books","ਸੰਗੀਤ ਗਿਆਨ ਕਲਾਸ 9 (Sangit Gyan Class 9)","Punjab State School Books","Class 9","Music","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB09612"
"3606","Books","ਗ੍ਰਹਿ ਵਿਗਿਆਨ ਕਲਾਸ 9 (Home Science Class 9)","Punjab State School Books","Class 9","Home Science","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB09611"
"3605","Books","ਵਿਗਿਆਨ-8 (Science Class 8)","Punjab State School Books","Class 8","Science","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB08321"
"3604","Books","ਵਿਗਿਆਨ- 10 (Science Class 10)","Punjab State School Books","Class 10","Science","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB10321"
"3603","Books","ਵਿਗਿਆਨ- 6 (Science Class 6)","Punjab State School Books","Class 6","Science","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB06321"
"3602","Books","ਸੰਗੀਤਕ ਗਿਆਨ (Music Knowledge Class 6-8)","Punjab State School Books","Class VI, VII, VIII","Music","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB06541"
"3601","Books","ਜਿਓਮੈਟ੍ਰਿਕਲ ਡਰਾਇੰਗ ਅਤੇ ਚਿਤਰਕਲਾ (Geometrical Drawing and Chitrakala Class 8)","Punjab State School Books","Class 8","Geometrical Drawing","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB08435"
"3600","Books","ਖੇਤੀ ਬਾੜੀ-8  (Agriculture Class 8)","Punjab State School Books","Class 8","Agriculture","Punjabi","Omkar Books","Punjab Board Teachers","2021","PSBTB08431"
"3599","Books","ਟ੍ਰਾਂਜਿਸਟਰ (Transistor Class 8)","Punjab State School Books","Class 8","Radio Transistor Making and Repair","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB08531"
"3598","Books","ਸਿੰਗਲ ਸਿਲੰਡਰ ਡੀਜ਼ਲ ਇੰਜਣ (Single Cylinder Diesel Engine)","Punjab State School Books","Class 7","Automobile","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB07723"
"3597","Books","ਮੈਟਲ ਫਿਟਿੰਗ (Metal Fitting Class VII)","Punjab State School Books","Class 7","Metal Fitting","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB07721"
"3596","Books","Home Science Class Vi, VII, Viii ਗ੍ਰਹਿ ਵਿਗਿਆਨ ਕਲਾਸ ਵੀਆਈ, ਸੱਤਵੀਂ, ਸੱਤਵੀਂ","Punjab State School Books","Class VI, VII, VIII","Home Science","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB06711"
"3595","Books","ਮੇਰੀ ਦੁਨੀਆ 5(My World EVS Class 5)","Punjab State School Books","Class 5","EVS","Sanskrit","Free Books","Punjab Board Teachers","2021","PSBTB05301"
"3594","Books","ਮੇਰੀ ਦੁਨੀਆ 4 (My World EVS Class 4)","Punjab State School Books","Class 4","EVS","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB04301"
"3593","Books","ਮੇਰੀ ਦੁਨੀਆ 3 (My World EVS Class 3)","Punjab State School Books","Class 3","EVS","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB03301"
"3592","Books","ਮੇਰੀ ਜੀਵਨ ਸ਼੍ਰੇਣੀ 2 (My Life- EVS Class 2)","Punjab State School Books","Class 2","EVS","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB02301"
"3591","Books","ਮੇਰੀ ਜੀਵਨ ਸ਼੍ਰੇਣੀ 1 (My Life- EVS Class 1)","Punjab State School Books","Class 1","EVS","English","Free Books","Punjab Board Teachers","2021","PSBTB01301"
"3590","Books","English Literature (Supplementary Reader)","Punjab State School Books","Class 10","English","English","Free Books","Punjab Board Teachers","2021","PSBTB10202"
"3589","Books","English Main Book Class 10","Punjab State School Books","Class 10","English","English","Free Books","Punjab Board Teachers","2021","PSBTB10201"
"3588","Books","My English Companion - Class 8","Punjab State School Books","Class 8","English","English","Free Books","Punjab Board Teachers","2021","PSBTB08201"
"3587","Books","My English Companion - Class 7","Punjab State School Books","Class 7","English","English","Free Books","Punjab Board Teachers","2021","PSBTB07201"
"3586","Books","My English Companion - Class 6","Punjab State School Books","Class 6","English","English","Free Books","Punjab Board Teachers","2021","PSBTB06201"
"3585","Books","Rainbow-5 (English Course Book- Class 5)","Punjab State School Books","Class 5","English","English","Free Books","Punjab Board Teachers","2021","PSBTB05201"
"3584","Books","Rainbow-4 (English Course Book- Class 4)","Punjab State School Books","Class 4","English","English","Free Books","Punjab Board Teachers","2021","PSBTB04201"
"3583","Books","Rainbow-3 (English Course Book- Class 3)","Punjab State School Books","Class 3","English","English","Free Books","Punjab Board Teachers","2021","PSBTB03201"
"3582","Books","Rainbow-2 (English Course Book- Class 2)","Punjab State School Books","Class 2","English","English","Free Books","Punjab Board Teachers","2021","PSBTB02201"
"3581","Books","Rainbow-1 (English Course Book- 1)","Punjab State School Books","Class 1","English","English","Free Books","Punjab Board Teachers","2021","PSBTB01201"
"3580","Class Notes","Kingdoms, Kings and an Early Republic","CBSE (NCERT Curriculum) School Books","Class VI","Social Studies- History","English","Free Books","NCERT","2021","NCESC06505"
"3579","Class Notes","What Books and Burials Tell us","CBSE (NCERT Curriculum) School Books","Class VI","Social Studies- History","English","Free Books","NCERT","2021","NCESC06504"
"3578","Class Notes","In the Earliest Cities","CBSE (NCERT Curriculum) School Books","Class VI","Social Studies- History","English","Free Books","NCERT","2021","NCESC06503"
"3577","Class Notes","From Hunting- Gathering to Growing Food","CBSE (NCERT Curriculum) School Books","Class VI","Social Studies- History","English","Free Books","NCERT","2021","NCESC06502"
"3576","Class Notes","What, Where, How and When","CBSE (NCERT Curriculum) School Books","Class VI","Social Studies- History","English","Free Books","NCERT","2021","NCESC06511"
"3575","Books","ਗਣਿਤ -10 (Ganit- Mathematics Class 10)","Punjab State School Books","Class 10","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB10101"
"3574","Books","ਗਣਿਤ  -9 (Ganit- Mathematics Class 9)","Punjab State School Books","Class 9","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB09101"
"3573","Books","ਗਣਿਤ  -8 (Ganit- Mathematics Class 8)","Punjab State School Books","Class 8","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB08101"
"3572","Books","ਗਣਿਤ ਦੀ ਦੁਨੀਆ -7 (Ganit Di Duniya- Mathematics Class 7)","Punjab State School Books","Class 7","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB07101"
"3571","Books","ਗਣਿਤ ਦੀ ਦੁਨੀਆ -6 (Gant Di Duniya- Mathematics Class 6)","Punjab State School Books","Class 6","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB06101"
"3570","Books","ਗਣਿਤ ਦੀ ਦੁਨੀਆ -5 (Ganit Di Duniya- Mathematics Class 5)","Punjab State School Books","Class 5","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB05101"
"3569","Books","ਗਣਿਤ ਦੀ ਦੁਨੀਆ -4 (Ganit Di Duniya- Mathematics Class 4)","Punjab State School Books","Class 4","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB04101"
"3568","Books","ਗਣਿਤ ਦੀ ਦੁਨੀਆ -3 (Ganit Di Duniya- Mathematics Class 3)","Punjab State School Books","Class 3","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB03101"
"3567","Books","ਗਣਿਤ ਦੀ ਦੁਨੀਆ -2 (Ganit Di Duniya- Mathematics Class 2)","Punjab State School Books","Class 2","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB02101"
"3566","Books","ਗਣਿਤ ਦੀ ਦੁਨੀਆ -1 (Ganit Di Duniya- Mathematics Class 1)","Punjab State School Books","Class 1","Mathematics","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB01101"
"3565","Books","ਪੰਜਾਬੀ ਕਲਾਸ 10 (Vangi= Punjabi Class 10)","Punjab State School Books","Class 10","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB10011"
"3564","Books","ਪੰਜਾਬੀ ਕਲਾਸ 9 (Vangi= Punjabi Class 9)","Punjab State School Books","Class 9","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB09011"
"3563","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 8 (Punjabi Class 8)","Punjab State School Books","Class 8","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB08011"
"3562","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 7 (Punjabi Class 7)","Punjab State School Books","Class 7","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB07011"
"3561","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 6 (Punjabi Class 6)","Punjab State School Books","Class 6","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB06011"
"3560","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 5 (Punjabi Class 5)","Punjab State School Books","Class 5","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB05011"
"3559","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 4 (Punjabi Class 4)","Punjab State School Books","Class 4","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB04011"
"3558","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 3 (Punjabi Class 3)","Punjab State School Books","Class 3","Punjabi","Punjabi","Omkar Books","Punjab Board Teachers","2021","PSBTB03013"
"3557","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 2 (Punjabi Class 2)","Punjab State School Books","Class 2","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB02012"
"3556","Books","ਪੰਜਾਬੀ ਕਿਤਾਬ 1 (Punjabi Class 1)","Punjab State School Books","Class 1","Punjabi","Punjabi","Free Books","Punjab Board Teachers","2021","PSBTB01011"
"3555","Class Notes","Garbage in Garbage out","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06016"
"3554","Class Notes","Air Around Us","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06015"
"3553","Class Notes","Water","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC08014"
"3552","Class Notes","Fun with Magnets","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06013"
"3551","Class Notes","Electricity and Circuits","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC08012"
"3550","Class Notes","Light, shadow and Reflection","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06011"
"3549","Class Notes","Motion and Measurement of Distance","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06010"
"3548","Class Notes","Living organisms- Characteristics and habitats","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06009"
"3546","Class Notes","Body Movements","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC07008"
"3545","Class Notes","Getting to Know Plants","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06007"
"3544","Class Notes","Changes Around Us","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06006"
"3543","Class Notes","Separation of Substances","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06005"
"3542","Class Notes","Sorting Materials Into Groups","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06004"
"3541","Class Notes","Fibre to Fabric","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06003"
"3540","Class Notes","Components of Food","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06002"
"3539","Class Notes","Food- Where does it Comes from","CBSE (NCERT Curriculum) School Books","Class VI","Science","English","Free Books","NCERT","2021","NCESC06001"
"3538","Class Notes","Wastewater Story","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07018"
"3537","Class Notes","Forests- Our Lifeline","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07017"
"3536","Class Notes","Water- A Precious Resource","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07016"
"3535","Class Notes","Light","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07015"
"3534","Class Notes","Electric Currents and its Effects","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07014"
"3533","Class Notes","Motion and time","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07013"
"3532","Class Notes","Reproduction in plants","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07012"
"3531","Class Notes","Transportation in Plants and Animals","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07011"
"3530","Class Notes","Respiration in Organisms","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07010"
"3529","Class Notes","Soil","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07009"
"3528","Class Notes","Winds, Storms and Cyclones","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC007008"
"3527","Class Notes","Weather, Climate and Adaptation by Animals","Maharashtra State Board School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC08007"
"3526","Class Notes","Physical and Chemical Changes","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07006"
"3525","Class Notes","Acids and Bases","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07005"
"3524","Class Notes","Heat","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07004"
"3523","Class Notes","Fibre to Fabric","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07003"
"3522","Class Notes","Nutrition in Animals","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07002"
"3521","Class Notes","Nutrition in Plants","CBSE (NCERT Curriculum) School Books","Class VII","Science","English","Free Books","NCERT","2021","NCESC07001"
"3520","Class Notes","Pollution of Air and Water","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08018"
"3519","Class Notes","Stars and Solar System","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08017"
"3518","Class Notes","Some Natural Phenomena","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08015"
"3517","Class Notes","Chemical Effects of Electric Current","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08014"
"3516","Class Notes","Sound","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08013"
"3515","Class Notes","Adolosence","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08010"
"3514","Class Notes","Reproduction in Animals","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08009"
"3513","Class Notes","Cell- Structure and Fucntions","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08008"
"3512","Class Notes","Conservation of Plants and Animals","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08007"
"3511","Class Notes","Combustion and Flame","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08006"
"3510","Class Notes","Coal and Petroleum","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08005"
"3509","Class Notes","Materials- Metals and Non-metals","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08004"
"3508","Class Notes","Synthetic Fibres and Plasctics","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08003"
"3507","Class Notes","Microorganisms- Friend or Foe","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08002"
"3506","Class Notes","Crop Production and Management","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08001"
"3505","Class Notes","Friction","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08012"
"3504","Class Notes","Force and Pressure","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08011"
"3503","Class Notes","Light","CBSE (NCERT Curriculum) School Books","Class VIII","Science","English","Free Books","NCERT","2021","NCESC08016"
"3502","Books","സാമൂഹ്യ ശാസ്ത്രം-II സ്റ്റാൻഡേർഡ്- X ഭാഗം -2 (Social Science-2 Std-X Part II)","Kerala State Council School Books","Standard 10","Social Science","Malyalam","Free Books","SCERT TEAM","2019","KSBMM10170"
"3501","Books","സാമൂഹ്യ ശാസ്ത്രം-I സ്റ്റാൻഡേർഡ്- X ഭാഗം -2 (Social Science-2Std-X Part I)","Kerala State Council School Books","Standard 10","Social Science","Malyalam","Free Books","SCERT TEAM","2019","KSBMM10169"
"3500","Books","സാമൂഹ്യ ശാസ്ത്രം-I സ്റ്റാൻഡേർഡ്- X ഭാഗം -II (Social Science-I Std-X Part II)","Kerala State Council School Books","Standard 10","Malayalam","Malyalam","Free Books","SCERT TEAM","2019","KSBMM10168"
"3499","Books","സാമൂഹ്യ ശാസ്ത്രം-II  സ്റ്റാൻഡേർഡ്- X ഭാഗം -1 (Social Science-II Std-X Part I)","Kerala State Council School Books","Standard 10","Social Science","Malyalam","Free Books","SCERT TEAM","2019","KSBMM10167"
"3498","Books","ഊര്‍ജതന്ത്രം സ്റ്റാൻഡേർഡ് X ഭാഗം -2 (Physics Standard X Part II)","Kerala State Council School Books","Standard 10","Malayalam","Malyalam","Free Books","SCERT TEAM","2019","KSBMM10166"
"3497","Books","ഊര്‍ജതന്ത്രം സ്റ്റാൻഡേർഡ് X ഭാഗം -1 (Physics Standard X Part I)","Kerala State Council School Books","Standard 10","Physics","Malyalam","Free Books","SCERT TEAM","2019","KSBMM10165"
"3496","Books","അടിസ്ഥാന പാഠാവലി മലയാളം സ്റ്റാൻഡേർഡ് X(Malayalam BT X)","Kerala State Council School Books","Standard 10","Mathematics","Malyalam","Free Books","SCERT TEAM","2019","KSBMM10164"
